word,positive_index
상승세,0.7761194029850746
필리핀,0.6585365853658537
대형기,0.21052631578947367
기울이,0.2808988764044944
기대치,0.3150684931506849
밀리터리,0.5168539325842697
피카소,1.0
유럽연합,0.5202020202020202
송승현,0.359375
화물칸,0.10227272727272728
애플리케이션,0.2558139534883721
어려울,0.3611111111111111
중고도,0.3888888888888889
회복세,0.1780821917808219
늘어나,0.3235294117647059
기울여,0.7674418604651163
자산운용,0.19047619047619047
작업자,0.0
백화점,0.0
리스크,0.19230769230769232
산업체,0.22388059701492538
스포트,0.6947368421052632
물동량,0.30434782608695654
원호연,0.4634146341463415
고품격,0.32
아마존,0.3125
강달호,0.0
프로모션,0.6774193548387096
호놀룰루,0.16666666666666666
급강하,1.0
스케줄,0.1506849315068493
지주회사,0.3595505617977528
